Month,Air RPM,Rail PM,VMT (billions),AirRPM2,AirRPM3
Jan-90,"35,153,577","454,115,779",163.28,35153.577,35.153577
Feb-90,"32,965,187","435,086,002",153.25,32965.187,32.965187
Mar-90,"39,993,913","568,289,732",178.42,39993.913,39.993913
Apr-90,"37,981,886","568,101,697",178.68,37981.886,37.981886
May-90,"38,419,672","539,628,385",188.88,38419.672,38.419672
Jun-90,"42,819,023","570,694,457",189.16,42819.023,42.819023
Jul-90,"45,770,315","618,571,581",195.09,45770.315,45.770315
Aug-90,"48,763,670","609,210,368",196.67,48763.67,48.76367
Sep-90,"38,173,223","488,444,939",178.07,38173.223,38.173223
Oct-90,"39,051,877","514,253,920",182.27,39051.877,39.051877
Nov-90,"35,699,216","516,429,873",171.23,35699.216,35.699216
Dec-90,"37,444,088","531,619,395",168.29,37444.088,37.444088
Jan-91,"34,848,290","496,467,387",157.88,34848.29,34.84829
Feb-91,"29,672,427","469,504,489",153.34,29672.427,29.672427
Mar-91,"36,202,993","587,905,914",179.06,36202.993,36.202993
Apr-91,"37,146,602","509,488,334",179.52,37146.602,37.146602
May-91,"38,869,421","566,342,448",191.91,38869.421,38.869421
Jun-91,"42,199,760","603,845,247",193.45,42199.76,42.19976
Jul-91,"45,384,965","633,450,001",198.37,45384.965,45.384965
Aug-91,"48,164,550","664,013,874",204.05,48164.55,48.16455
Sep-91,"38,481,957","494,557,648",183.58,38481.957,38.481957
Oct-91,"39,062,110","509,037,626",188.43,39062.11,39.06211
Nov-91,"34,688,141","472,359,118",169.68,34688.141,34.688141
Dec-91,"38,575,165","550,795,984",172.77,38575.165,38.575165
Jan-92,"35,265,807","493,541,137",167.89,35265.807,35.265807
Feb-92,"33,868,884","462,084,011",160.43,33868.884,33.868884
Mar-92,"39,724,539","559,205,172",184.03,39724.539,39.724539
Apr-92,"37,294,373","572,122,965",186.32,37294.373,37.294373
May-92,"39,728,367","546,043,825",196.99,39728.367,39.728367
Jun-92,"45,754,460","478,204,759",197.49,45754.46,45.75446
Jul-92,"50,807,813","610,774,196",206.88,50807.813,50.807813
Aug-92,"53,219,046","627,359,211",205.02,53219.046,53.219046
Sep-92,"41,564,915","516,516,158",191.16,41564.915,41.564915
Oct-92,"40,578,092","538,313,763",195.1,40578.092,40.578092
Nov-92,"36,863,415","539,769,246",177.62,36863.415,36.863415
Dec-92,"39,045,016","551,397,116",181.25,39045.016,39.045016
Jan-93,"37,911,556","500,349,189",171.66,37911.556,37.911556
Feb-93,"34,902,869","461,280,157",162.82,34902.869,34.902869
Mar-93,"42,058,882","534,476,186",187.84,42058.882,42.058882
Apr-93,"40,814,097","562,429,065",188.71,40814.097,40.814097
May-93,"42,133,943","554,039,017",205.95,42133.943,42.133943
Jun-93,"44,679,864","580,500,717",199.39,44679.864,44.679864
Jul-93,"48,622,037","586,861,727",209.81,48622.037,48.622037
Aug-93,"50,451,675","611,839,976",209.6,50451.675,50.451675
Sep-93,"41,677,832","501,353,952",193.74,41677.832,41.677832
Oct-93,"43,264,475","507,702,230",197.76,43264.475,43.264475
Nov-93,"38,868,799","489,299,178",182.3,38868.799,38.868799
Dec-93,"40,610,043","503,041,903",186.8,40610.043,40.610043
Jan-94,"38,863,562","472,917,856",169.31,38863.562,38.863562
Feb-94,"36,068,535","463,567,851",166.45,36068.535,36.068535
Mar-94,"45,433,842","572,167,273",196.19,45433.842,45.433842
Apr-94,"42,418,163","546,898,075",195.41,42418.163,42.418163
May-94,"44,297,210","524,008,197",206.6,44297.21,44.29721
Jun-94,"48,169,096","531,971,149",207.28,48169.096,48.169096
Jul-94,"52,410,979","578,257,564",214.78,52410.979,52.410979
Aug-94,"53,235,052","587,229,076",215.05,53235.052,53.235052
Sep-94,"44,677,623","490,032,783",200.51,44677.623,44.677623
Oct-94,"45,845,403","493,619,903",202.86,45845.403,45.845403
Nov-94,"42,230,318","477,594,716",190.07,42230.318,42.230318
Dec-94,"43,868,116","490,779,357",193.09,43868.116,43.868116
Jan-95,"42,050,940","425,207,429",183.62,42050.94,42.05094
Feb-95,"38,580,784","393,268,412",172.52,38580.784,38.580784
Mar-95,"47,390,145","489,360,683",202.41,47390.145,47.390145
Apr-95,"45,427,499","490,903,635",199.53,45427.499,45.427499
May-95,"45,915,722","511,120,586",213.56,45915.722,45.915722
Jun-95,"49,992,583","542,693,418",212.28,49992.583,49.992583
Jul-95,"53,345,749","571,259,638",217.72,53345.749,53.345749
Aug-95,"54,776,466","580,982,161",219.87,54776.466,54.776466
Sep-95,"45,589,237","451,385,426",204.32,45589.237,45.589237
Oct-95,"46,993,036","441,202,778",206.99,46993.036,46.993036
Nov-95,"43,703,386","435,470,011",195.41,43703.386,43.703386
Dec-95,"45,015,358","444,598,571",194.59,45015.358,45.015358
Jan-96,"42,734,234","362,022,328",183.74,42734.234,42.734234
Feb-96,"43,056,589","343,413,949",176.82,43056.589,43.056589
Mar-96,"51,646,570","416,042,895",204.47,51646.57,51.64657
Apr-96,"48,063,492","425,092,726",205.56,48063.492,48.063492
May-96,"49,808,809","467,573,082",219,49808.809,49.808809
Jun-96,"53,774,378","476,554,648",215.87,53774.378,53.774378
Jul-96,"56,576,582","525,954,361",225.44,56576.582,56.576582
Aug-96,"58,714,135","551,695,523",229.39,58714.135,58.714135
Sep-96,"47,857,913","412,344,840",207.91,47857.913,47.857913
Oct-96,"49,873,317","425,991,795",215.97,49873.317,49.873317
Nov-96,"44,696,485","389,249,720",199.94,44696.485,44.696485
Dec-96,"49,361,193","437,256,586",201.75,49361.193,49.361193
Jan-97,"46,692,784","337,798,678",190.13,46692.784,46.692784
Feb-97,"43,761,932","337,893,100",183.95,43761.932,43.761932
Mar-97,"54,755,166","416,925,515",211.95,54755.166,54.755166
Apr-97,"50,182,894","408,488,665",211.29,50182.894,50.182894
May-97,"51,979,543","444,032,624",226.08,51979.543,51.979543
Jun-97,"55,462,027","481,053,743",222.25,55462.027,55.462027
Jul-97,"58,771,317","540,293,509",236.71,58771.317,58.771317
Aug-97,"60,496,856","552,486,079",233.5,60496.856,60.496856
Sep-97,"50,076,953","425,814,893",213.55,50076.953,50.076953
Oct-97,"51,846,329","445,858,326",221.22,51846.329,51.846329
Nov-97,"47,743,798","441,249,575",202.42,47743.798,47.743798
Dec-97,"50,414,361","454,400,575",207.32,50414.361,50.414361
Jan-98,"47,290,992","371,355,589",196.87,47290.992,47.290992
Feb-98,"44,641,209","326,874,247",187.17,44641.209,44.641209
Mar-98,"54,453,961","426,172,239",214.22,54453.961,54.453961
Apr-98,"53,044,174","447,877,815",217.92,53044.174,53.044174
May-98,"54,302,581","462,341,914",227.9,54302.581,54.302581
Jun-98,"57,335,447","482,325,897",228.73,57335.447,57.335447
Jul-98,"59,441,840","537,481,124",239.94,59441.84,59.44184
Aug-98,"60,813,085","526,444,502",237.14,60813.085,60.813085
Sep-98,"49,560,508","430,364,874",219.46,49560.508,49.560508
Oct-98,"53,463,147","444,719,403",228.52,53463.147,53.463147
Nov-98,"49,561,082","427,669,956",211.18,49561.082,49.561082
Dec-98,"51,024,977","459,051,399",216.3,51024.977,51.024977
Jan-99,"48,861,094","384,824,724",194.44,48861.094,48.861094
Feb-99,"46,158,194","350,270,063",192.33,46158.194,46.158194
Mar-99,"57,761,057","436,837,107",221.74,57761.057,57.761057
Apr-99,"54,968,382","435,360,347",221.98,54968.382,54.968382
May-99,"55,469,960","450,054,655",231.81,55469.96,55.46996
Jun-99,"59,918,608","496,553,598",237.02,59918.608,59.918608
Jul-99,"64,397,523","543,923,323",244.2,64397.523,64.397523
Aug-99,"63,752,132","528,001,216",242.57,63752.132,63.752132
Sep-99,"53,733,696","393,137,094",225.3,53733.696,53.733696
Oct-99,"57,407,208","425,897,553",234.66,57407.208,57.407208
Nov-99,"53,866,781","421,595,015",222.83,53866.781,53.866781
Dec-99,"52,331,272","442,742,459",222.46,52331.272,52.331272
Jan-00,"49,745,428","366,607,410",203.58,49745.428,49.745428
Feb-00,"49,876,910","366,139,276",199.64,49876.91,49.87691
Mar-00,"61,378,569","453,096,388",232.63,61378.569,61.378569
Apr-00,"58,981,617","473,751,011",227.81,58981.617,58.981617
May-00,"61,165,486","481,725,263",242.11,61165.486,61.165486
Jun-00,"65,524,091","517,102,460",243.01,65524.091,65.524091
Jul-00,"67,883,256","564,747,276",245.08,67883.256,67.883256
Aug-00,"66,924,512","558,060,051",247.77,66924.512,66.924512
Sep-00,"56,441,629","446,489,429",227.33,56441.629,56.441629
Oct-00,"58,834,210","462,329,685",236.55,58834.21,58.83421
Nov-00,"56,283,261","442,268,378",222.8,56283.261,56.283261
Dec-00,"55,380,280","461,651,082",218.44,55380.28,55.38028
1-Jan,"53,129,922","379,458,113",209.26,53129.922,53.129922
1-Feb,"49,992,995","366,288,212",199.91,49992.995,49.992995
1-Mar,"62,323,049","448,912,584",231.49,62323.049,62.323049
1-Apr,"59,801,562","455,496,342",231.37,59801.562,59.801562
1-May,"60,246,477","462,376,555",244.25,60246.477,60.246477
1-Jun,"64,987,625","528,690,495",242.58,64987.625,64.987625
1-Jul,"68,573,410","564,037,290",248.79,68573.41,68.57341
1-Aug,"69,003,617","562,266,005",251.69,69003.617,69.003617
1-Sep,"39,106,905","446,266,947",224.57,39106.905,39.106905
1-Oct,"44,271,037","452,095,235",240,44271.037,44.271037
1-Nov,"45,245,063","446,094,295",229.48,45245.063,45.245063
1-Dec,"48,167,518","479,188,434",228.09,48167.518,48.167518
2-Jan,"46,587,818","398,440,459",213.81,46587.818,46.587818
2-Feb,"45,157,533","397,948,828",206.46,45157.533,45.157533
2-Mar,"57,423,155","461,087,451",234.01,57423.155,57.423155
2-Apr,"53,013,066","453,147,413",234.81,53013.066,53.013066
2-May,"55,663,570","461,648,459",249.89,55663.57,55.66357
2-Jun,"60,224,150","499,751,748",246.39,60224.15,60.22415
2-Jul,"62,570,110","564,046,073",254.19,62570.11,62.57011
2-Aug,"62,881,793","516,103,068",256.24,62881.793,62.881793
2-Sep,"48,925,997","385,097,846",230.6,48925.997,48.925997
2-Oct,"52,779,975","399,248,774",243.29,52779.975,52.779975
2-Nov,"48,902,677","375,996,408",228.39,48902.677,48.902677
2-Dec,"55,355,434","448,246,102",231.26,55355.434,55.355434
3-Jan,"50,602,700","393,287,373",216.6,50602.7,50.6027
3-Feb,"46,455,943","390,041,481",201.9,46455.943,46.455943
3-Mar,"56,033,121","472,573,962",236.7,56033.121,56.033121
3-Apr,"51,146,721","483,653,074",238.1,51146.721,51.146721
3-May,"53,591,384","489,484,678",253.2,53591.384,53.591384
3-Jun,"59,426,357","531,138,943",252,59426.357,59.426357
3-Jul,"65,041,408","578,767,927",261.3,65041.408,65.041408
3-Aug,"64,095,456","557,897,322",259.6,64095.456,64.095456
3-Sep,"51,347,366","427,807,444",236,51347.366,51.347366
3-Oct,"55,810,667","463,025,617",253.4,55810.667,55.810667
3-Nov,"53,249,129","448,181,812",233.3,53249.129,53.249129
3-Dec,"57,795,908","489,403,554",237.6,57795.908,57.795908
4-Jan,"53,447,972","410,338,691",217.3,53447.972,53.447972
4-Feb,"52,608,801","389,778,365",210.4,52608.801,52.608801
4-Mar,"63,600,019","453,014,590",247.5,63600.019,63.600019
4-Apr,"61,887,720","471,116,666",245.4,61887.72,61.88772
